,Symbol - Security Name,Previous Close,Average Price,Open,High,Low,Current Close,Change (AED),Change %,No of Trading Days,No. of Trades,Trade Volume,Trade Value,High 52,Low 52,Market Capitalization,Market Capital %,Open Interest,Date
0,Banks,,,,,,,,,,,,,,,,,,01/02/2022
1,AJMANBANK-  AJMAN BANK PJSC,0.793,0.786,0.795,0.795,0.778,0.79,-0.003,-0.378,1.0,25.0,480015.0,377136.34,0.87,0.643,1659000000.0,0.409,,01/02/2022
2,ALSALAMSUDAN-  AL SALAM Sudan,1.54,0.0,,0.0,,1.54,,,0.0,0.0,0.0,0.0,1.8,1.31,186763500.0,0.046,,01/02/2022
3,AMLAK-  Amlak Finance P.J.S.C,0.905,0.907,0.91,0.922,0.893,0.902,-0.003,-0.331,1.0,117.0,3996671.0,3624246.71,1.05,0.201,1353000000.0,0.333,,01/02/2022
4,CBD-  Commercial Bank of Dubai P.S.C.,4.5,0.0,,0.0,,4.5,,,0.0,0.0,0.0,0.0,4.7,3.85,12612302856.0,3.109,,01/02/2022
5,DIB-  Dubai Islamic Bank,5.5,5.48,5.46,5.51,5.45,5.5,0.0,0.0,1.0,319.0,3331543.0,18257077.61,5.6,4.44,39824094073.5,9.816,,01/02/2022
6,EIB-  Emirates Islamic Bank PJSC,7.47,0.0,,0.0,,7.47,,,0.0,0.0,0.0,0.0,8.0,6.5,40565251406.25,9.999,,01/02/2022
7,EIBANK-  Emirates Investment Bank PJSC,524.0,0.0,,0.0,,524.0,,,0.0,0.0,0.0,0.0,524.0,457.0,366800000.0,0.09,,01/02/2022
8,EMIRATESNBD-  Emirates NBD PJSC,13.35,13.16,13.4,13.4,13.05,13.15,-0.2,-1.498,1.0,649.0,3369525.0,44343706.5,14.3,10.75,83063267026.95,20.474,,01/02/2022
9,GFH-  GFH Financial Group B.S.C.,1.22,1.221,1.22,1.23,1.21,1.23,0.01,0.82,1.0,94.0,4633799.0,5656115.06,1.36,0.597,4644467778.72,1.145,,01/02/2022
10,ITHMR-  Ithmaar Holding B.S.C,0.27,0.271,0.268,0.278,0.262,0.266,-0.004,-1.481,1.0,227.0,27836724.0,7544871.14,0.293,0.152,806180837.18,0.199,,01/02/2022
11,MASQ-  Mashreqbank PSc,76.0,0.0,,0.0,,76.0,,,0.0,0.0,0.0,0.0,79.5,53.1,15246347080.0,3.758,,01/02/2022
